,species,decimalLongitude,decimalLatitude,country
1412,Ayenia jaliscana,-103.124167,21.378611,Mexico
1413,Ayenia jaliscana,-103.116667,21.391667,Mexico
1414,Ayenia filiformis,-111.416,33.4009,United States of America
1415,Ayenia filiformis,-108.91667,26.91667,Mexico
1416,Ayenia jaliscana,-108.91667,26.91333,Mexico
1417,Ayenia mexicana,-108.78556,27.00139,Mexico
1418,Ayenia jaliscana,-108.91806000000001,26.9125,Mexico
1419,Ayenia filiformis,-108.95,26.975,Mexico
1420,Ayenia jaliscana,-108.91806000000001,26.9125,Mexico
1421,Ayenia mastatalensis,-84.38,9.69,Costa Rica
1422,Ayenia micrantha,-83.26,8.97,Costa Rica
1423,Ayenia angustifolia,-42.533333,-14.033332999999999,Brazil
1424,Ayenia angustifolia,-41.25,-13.533332999999999,Brazil
1425,Ayenia magna,-60.433330000000005,-20.316670000000002,Paraguay
1426,Ayenia krapovickasii,-61.3,-19.7,Paraguay
1427,Ayenia krapovickasii,-60.416669999999996,-20.33333,Paraguay
1428,Ayenia odonellii,-61.3,-19.7,Paraguay
1429,Ayenia odonellii,-61.71666999999999,-19.65,Paraguay
1430,Ayenia angustifolia,-41.25,-13.533332999999999,Brazil
1431,Ayenia angustifolia,-41.25,-13.533332999999999,Brazil
1432,Ayenia angustifolia,-42.533333,-14.033332999999999,Brazil
1433,Ayenia micrantha,-89.93333299999999,13.816667,El Salvador
1434,Ayenia krapovickasii,-61.766659999999995,-19.7,Paraguay
1435,Ayenia krapovickasii,-61.7,-19.633329999999997,Paraguay
1436,Ayenia odonellii,-61.7,-19.633329999999997,Paraguay
1437,Ayenia micrantha,-89.93333,13.816670000000002,El Salvador
1438,Ayenia jaliscana,-103.08214441834274,21.497449949687667,Mexico
1439,Ayenia jaliscana,-103.085,21.497222,Mexico
1440,Ayenia angustifolia,-43.116667,-16.666667,Brazil
1441,Ayenia tomentosa,-57.65,-19.016667,Brazil
1442,Ayenia tomentosa,-59.41,2.83,Guyana
1443,Ayenia rotundifolia,-99.564444,20.915278,Mexico
1444,Ayenia compacta,-111.891667,26.341666999999998,Mexico
1445,Ayenia tomentosa,-59.416667000000004,2.833333,Guyana
1446,Ayenia angustifolia,-43.6,-18.233333,Brazil
1447,Ayenia angustifolia,-43.633333,-19.45,Brazil
1448,Ayenia angustifolia,-43.7,-18.683332999999998,Brazil
1449,Ayenia wygodzinskyi,-43.6,-18.183332999999998,Brazil
1450,Ayenia filiformis,-110.95833300000001,29.025,Mexico
1451,Ayenia angustifolia,-43.7,-18.68,Brazil
1452,Ayenia wygodzinskyi,-43.6,-18.183329999999998,Brazil
1453,Ayenia wygodzinskyi,-43.6,-18.183332999999998,Brazil
1454,Ayenia angustifolia,-43.7,-18.683332999999998,Brazil
1455,Ayenia tomentosa,-57.116659999999996,-25.2,Paraguay
1456,Ayenia odonellii,-60.03333000000001,-22.35,Paraguay
1457,Ayenia filiformis,-111.391667,28.275,Mexico
1458,Ayenia filiformis,-112.855556,27.308333,Mexico
1459,Ayenia micrantha,-104.9919073269466,19.392267046251884,Mexico
1460,Ayenia micrantha,-104.98333000000001,19.383329999999997,Mexico
1461,Ayenia tomentosa,-56.766659999999995,-26.05,Paraguay
1462,Ayenia microphylla,-106.15416699999999,31.906944,United States of America
1463,Ayenia fruticosa,-97.458333,18.275,Mexico
1464,Ayenia ovata,-99.590556,17.833333,Mexico
1465,Ayenia microphylla,-97.475,18.325,Mexico
1466,Ayenia nummularia,-54.583332999999996,-25.283333,Paraguay
1467,Ayenia fruticosa,-97.458333,18.258333,Mexico
1468,Ayenia fruticosa,-97.458333,18.341667,Mexico
1469,Ayenia rotundifolia,-99.718333,20.833333,Mexico
1470,Ayenia ovata,-99.613333,17.918889,Mexico
1471,Ayenia rotundifolia,-99.69677800000001,20.915639000000002,Mexico
1472,Ayenia pilosa,-98.055,23.0,Mexico
1473,Ayenia fruticosa,-97.44833299999999,18.240278,Mexico
1474,Ayenia jaliscana,-103.425,20.291667,Mexico
1475,Ayenia rotundifolia,-99.725,20.841667,Mexico
1476,Ayenia ovata,-99.591389,17.791667,Mexico
1477,Ayenia ovata,-99.591389,17.791667,Mexico
1478,Ayenia berlandieri,-99.701944,17.904722,Mexico
1479,Ayenia microphylla,-103.716667,25.4,Mexico
1480,Ayenia micrantha,-104.98333000000001,19.03333,Mexico
1481,Ayenia micrantha,-85.352778,10.333333,Costa Rica
1482,Ayenia micrantha,-85.35276999999999,10.33333,Costa Rica
1483,Ayenia filiformis,-110.934,33.5442,United States of America
1484,Ayenia glabra,-104.571667,22.235,Mexico
1485,Ayenia jaliscana,-103.116667,21.408333,Mexico
1486,Ayenia jaliscana,-103.116667,21.408333,Mexico
1487,Ayenia filiformis,-110.934,33.5442,United States of America
1488,Ayenia compacta,-110.93867,33.54572,United States of America
1489,Ayenia micrantha,-104.95,19.5,Mexico
1490,Ayenia micrantha,-85.35,10.33,Costa Rica
1491,Ayenia stipularis,-75.133333,6.033333,Colombia
1492,Ayenia stipularis,-75.133333,6.033333,Colombia
1493,Ayenia filiformis,-110.90784099999999,31.683436999999998,United States of America
1494,Ayenia dentata,-97.258333,18.275,Mexico
1495,Ayenia fruticosa,-97.258333,18.275,Mexico
1496,Ayenia ovata,-97.258333,18.275,Mexico
1497,Ayenia pusilla,-87.4292641746521,19.499255005139972,Mexico
1498,Ayenia filiformis,-110.94094,31.67608,United States of America
1499,Ayenia compacta,-116.3375,33.10417,United States of America
1500,Ayenia praeclara,-72.73,-8.25,Brazil
1501,Ayenia blanchetiana,-41.85,-13.283332999999999,Brazil
1502,Ayenia blanchetiana,-41.85,-13.283332999999999,Brazil
1503,Ayenia blanchetiana,-41.85,-13.283332999999999,Brazil
1504,Ayenia tomentosa,-56.766659999999995,-26.01666,Paraguay
1505,Ayenia micrantha,-104.99138899999998,19.384722,Mexico
1506,Ayenia rotundifolia,-100.17,21.603333,Mexico
1507,Ayenia micrantha,-104.99166699999999,19.383333,Mexico
1508,Ayenia jaliscana,-104.580833,21.315,Mexico
1509,Ayenia jaliscana,-104.591667,21.538332999999998,Mexico
1510,Ayenia rotundifolia,-100.275,21.308332999999998,Mexico
1511,Ayenia praeclara,-72.73,-8.25,Brazil
1512,Ayenia micrantha,-104.99167,19.433329999999998,Mexico
